GeoFips,GeoName,2018
01001,"Autauga, AL",1483414.00
01003,"Baldwin, AL",5774289.00
01005,"Barbour, AL",787425.00
01007,"Bibb, AL",364197.00
01009,"Blount, AL",849114.00
01011,"Bullock, AL",244183.00
01013,"Butler, AL",570686.00
01015,"Calhoun, AL",3950436.00
01017,"Chambers, AL",1941217.00
01019,"Cherokee, AL",498013.00
01021,"Chilton, AL",837887.00
01023,"Choctaw, AL",547773.00
01025,"Clarke, AL",784519.00
01027,"Clay, AL",339246.00
01029,"Cleburne, AL",294019.00
01031,"Coffee, AL",1470262.00
01033,"Colbert, AL",2755838.00
01035,"Conecuh, AL",449646.00
01037,"Coosa, AL",177103.00
01039,"Covington, AL",1146899.00
01041,"Crenshaw, AL",408219.00
01043,"Cullman, AL",2548547.00
01045,"Dale, AL",2505314.00
01047,"Dallas, AL",1174931.00
01049,"DeKalb, AL",1768414.00
01051,"Elmore, AL",1694188.00
01053,"Escambia, AL",1172006.00
01055,"Etowah, AL",2803470.00
01057,"Fayette, AL",331837.00
01059,"Franklin, AL",886031.00
01061,"Geneva, AL",519624.00
01063,"Greene, AL",235854.00
01065,"Hale, AL",280041.00
01067,"Henry, AL",327713.00
01069,"Houston, AL",4349489.00
01071,"Jackson, AL",1319359.00
01073,"Jefferson, AL",41774355.00
01075,"Lamar, AL",296054.00
01077,"Lauderdale, AL",2467086.00
01079,"Lawrence, AL",563208.00
01081,"Lee, AL",6013577.00
01083,"Limestone, AL",3288507.00
01085,"Lowndes, AL",413334.00
01087,"Macon, AL",437305.00
01089,"Madison, AL",21707550.00
01091,"Marengo, AL",657507.00
01093,"Marion, AL",804250.00
01095,"Marshall, AL",3061736.00
01097,"Mobile, AL",17882906.00
01099,"Monroe, AL",618262.00
01101,"Montgomery, AL",12633330.00
01103,"Morgan, AL",4980085.00
01105,"Perry, AL",183432.00
01107,"Pickens, AL",390766.00
01109,"Pike, AL",1309102.00
01111,"Randolph, AL",427804.00
01113,"Russell, AL",1472862.00
01115,"St. Clair, AL",1764952.00
01117,"Shelby, AL",10317323.00
01119,"Sumter, AL",326706.00
01121,"Talladega, AL",2840194.00
01123,"Tallapoosa, AL",1186139.00
01125,"Tuscaloosa, AL",9042556.00
01127,"Walker, AL",2058416.00
01129,"Washington, AL",799290.00
01131,"Wilcox, AL",378418.00
01133,"Winston, AL",667455.00
02013,"Aleutians East Borough, AK*",201612.00
02016,"Aleutians West Census Area, AK*",353175.00
02020,"Anchorage Municipality, AK",20329942.00
02050,"Bethel Census Area, AK*",625190.00
02060,"Bristol Bay Borough, AK",130341.00
02068,"Denali Borough, AK*",237263.00
02070,"Dillingham Census Area, AK*",248432.00
02090,"Fairbanks North Star Borough, AK",5654089.00
02100,"Haines Borough, AK",98959.00
02105,"Hoonah-Angoon Census Area, AK*",83216.00
02110,"Juneau City and Borough, AK",2298214.00
02122,"Kenai Peninsula Borough, AK",2808539.00
02130,"Ketchikan Gateway Borough, AK*",800724.00
02150,"Kodiak Island Borough, AK",715043.00
02158,"Kusilvak Census Area, AK*",144996.00
02164,"Lake and Peninsula Borough, AK*",88124.00
02170,"Matanuska-Susitna Borough, AK",2266408.00
02180,"Nome Census Area, AK*",396694.00
02185,"North Slope Borough, AK",10469543.00
02188,"Northwest Arctic Borough, AK",696765.00
02195,"Petersburg Borough, AK*",172178.00
02198,"Prince of Wales-Hyder Census Area, AK*",219255.00
02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",0.00
02220,"Sitka City and Borough, AK",443526.00
02230,"Skagway Municipality, AK*",95346.00
02232,"Skagway-Hoonah-Angoon Census Area, AK*",0.00
02240,"Southeast Fairbanks Census Area, AK*",637943.00
02261,"Valdez-Cordova Census Area, AK*",2331614.00
02275,"Wrangell City and Borough, AK*",94120.00
02280,"Wrangell-Petersburg Census Area, AK*",0.00
02282,"Yakutat City and Borough, AK*",28420.00
02290,"Yukon-Koyukuk Census Area, AK*",273529.00
04001,"Apache, AZ",2619469.00
04003,"Cochise, AZ",4404134.00
04005,"Coconino, AZ",6770442.00
04007,"Gila, AZ",1985337.00
04009,"Graham, AZ",1097980.00
04011,"Greenlee, AZ",1771158.00
04012,"La Paz, AZ",602409.00
04013,"Maricopa, AZ",220789933.00
04015,"Mohave, AZ",5068013.00
04017,"Navajo, AZ",3535546.00
04019,"Pima, AZ",40011352.00
04021,"Pinal, AZ",6936698.00
04023,"Santa Cruz, AZ",1701223.00
04025,"Yavapai, AZ",6481866.00
04027,"Yuma, AZ",7874389.00
05001,"Arkansas, AR",1028895.00
05003,"Ashley, AR",907876.00
05005,"Baxter, AR",1131278.00
05007,"Benton, AR",13245065.00
05009,"Boone, AR",1150136.00
05011,"Bradley, AR",330283.00
05013,"Calhoun, AR",344894.00
05015,"Carroll, AR",788311.00
05017,"Chicot, AR",244098.00
05019,"Clark, AR",734017.00
05021,"Clay, AR",304763.00
05023,"Cleburne, AR",890222.00
05025,"Cleveland, AR",169834.00
05027,"Columbia, AR",828515.00
05029,"Conway, AR",962556.00
05031,"Craighead, AR",4031319.00
05033,"Crawford, AR",1567342.00
05035,"Crittenden, AR",1481505.00
05037,"Cross, AR",440941.00
05039,"Dallas, AR",192320.00
05041,"Desha, AR",498045.00
05043,"Drew, AR",574589.00
05045,"Faulkner, AR",3683719.00
05047,"Franklin, AR",479936.00
05049,"Fulton, AR",187790.00
05051,"Garland, AR",3051825.00
05053,"Grant, AR",390516.00
05055,"Greene, AR",1342823.00
05057,"Hempstead, AR",877218.00
05059,"Hot Spring, AR",863609.00
05061,"Howard, AR",597565.00
05063,"Independence, AR",1670702.00
05065,"Izard, AR",273211.00
05067,"Jackson, AR",528213.00
05069,"Jefferson, AR",2917078.00
05071,"Johnson, AR",698286.00
05073,"Lafayette, AR",174464.00
05075,"Lawrence, AR",444009.00
05077,"Lee, AR",178058.00
05079,"Lincoln, AR",261122.00
05081,"Little River, AR",378858.00
05083,"Logan, AR",600829.00
05085,"Lonoke, AR",1159033.00
05087,"Madison, AR",411807.00
05089,"Marion, AR",494246.00
05091,"Miller, AR",1102278.00
05093,"Mississippi, AR",2205413.00
05095,"Monroe, AR",188860.00
05097,"Montgomery, AR",157162.00
05099,"Nevada, AR",272959.00
05101,"Newton, AR",96963.00
05103,"Ouachita, AR",614610.00
05105,"Perry, AR",141590.00
05107,"Phillips, AR",458421.00
05109,"Pike, AR",248289.00
05111,"Poinsett, AR",555990.00
05113,"Polk, AR",502922.00
05115,"Pope, AR",2692810.00
05117,"Prairie, AR",165493.00
05119,"Pulaski, AR",27208113.00
05121,"Randolph, AR",415843.00
05123,"St. Francis, AR",687857.00
05125,"Saline, AR",1991439.00
05127,"Scott, AR",288385.00
05129,"Searcy, AR",122483.00
05131,"Sebastian, AR",6067121.00
05133,"Sevier, AR",462219.00
05135,"Sharp, AR",309809.00
05137,"Stone, AR",228301.00
05139,"Union, AR",2806423.00
05141,"Van Buren, AR",658285.00
05143,"Washington, AR",9828703.00
05145,"White, AR",2272114.00
05147,"Woodruff, AR",210719.00
05149,"Yell, AR",550276.00
06001,"Alameda, CA",130701879.00
06003,"Alpine, CA",214895.00
06005,"Amador, CA",1651760.00
06007,"Butte, CA",9219915.00
06009,"Calaveras, CA",1440250.00
06011,"Colusa, CA",1673234.00
06013,"Contra Costa, CA",77463188.00
06015,"Del Norte, CA",939846.00
06017,"El Dorado, CA",7653908.00
06019,"Fresno, CA",43436946.00
06021,"Glenn, CA",1495087.00
06023,"Humboldt, CA",6118687.00
06025,"Imperial, CA",8038068.00
06027,"Inyo, CA",1205264.00
06029,"Kern, CA",49864234.00
06031,"Kings, CA",5648724.00
06033,"Lake, CA",2178663.00
06035,"Lassen, CA",1358142.00
06037,"Los Angeles, CA",710893266.00
06039,"Madera, CA",7099931.00
06041,"Marin, CA",20896027.00
06043,"Mariposa, CA",811272.00
06045,"Mendocino, CA",3552687.00
06047,"Merced, CA",9435667.00
06049,"Modoc, CA",441800.00
06051,"Mono, CA",1009386.00
06053,"Monterey, CA",25834713.00
06055,"Napa, CA",9999759.00
06057,"Nevada, CA",4170409.00
06059,"Orange, CA",230145536.00
06061,"Placer, CA",22021571.00
06063,"Plumas, CA",1052152.00
06065,"Riverside, CA",79775504.00
06067,"Sacramento, CA",85235147.00
06069,"San Benito, CA",2495845.00
06071,"San Bernardino, CA",85114555.00
06073,"San Diego, CA",219361505.00
06075,"San Francisco, CA",162541244.00
06077,"San Joaquin, CA",29257580.00
06079,"San Luis Obispo, CA",16536404.00
06081,"San Mateo, CA",104986153.00
06083,"Santa Barbara, CA",27855958.00
06085,"Santa Clara, CA",316525538.00
06087,"Santa Cruz, CA",13765700.00
06089,"Shasta, CA",7655080.00
06091,"Sierra, CA",215033.00
06093,"Siskiyou, CA",1776081.00
06095,"Solano, CA",23303994.00
06097,"Sonoma, CA",28565621.00
06099,"Stanislaus, CA",23160773.00
06101,"Sutter, CA",3486115.00
06103,"Tehama, CA",2210392.00
06105,"Trinity, CA",506794.00
06107,"Tulare, CA",18415098.00
06109,"Tuolumne, CA",2430940.00
06111,"Ventura, CA",53439240.00
06113,"Yolo, CA",13751632.00
06115,"Yuba, CA",3020233.00
08001,"Adams, CO*",23933937.00
08003,"Alamosa, CO",671553.00
08005,"Arapahoe, CO",44037874.00
08007,"Archuleta, CO",482935.00
08009,"Baca, CO",137473.00
08011,"Bent, CO",165660.00
08013,"Boulder, CO*",25319458.00
08014,"Broomfield, CO*",8050690.00
08015,"Chaffee, CO",692114.00
08017,"Cheyenne, CO",235536.00
08019,"Clear Creek, CO",500533.00
08021,"Conejos, CO",244248.00
08023,"Costilla, CO",107662.00
08025,"Crowley, CO",126638.00
08027,"Custer, CO",127789.00
08029,"Delta, CO",785652.00
08031,"Denver, CO",70054379.00
08033,"Dolores, CO",156585.00
08035,"Douglas, CO",15743268.00
08037,"Eagle, CO",3375460.00
08039,"Elbert, CO",484094.00
08041,"El Paso, CO",33349174.00
08043,"Fremont, CO",1325142.00
08045,"Garfield, CO",4243642.00
08047,"Gilpin, CO",525142.00
08049,"Grand, CO",714703.00
08051,"Gunnison, CO",1028922.00
08053,"Hinsdale, CO",52699.00
08055,"Huerfano, CO",273895.00
08057,"Jackson, CO",118656.00
08059,"Jefferson, CO*",29445620.00
08061,"Kiowa, CO",73798.00
08063,"Kit Carson, CO",391520.00
08065,"Lake, CO",309433.00
08067,"La Plata, CO",3515882.00
08069,"Larimer, CO",16793330.00
08071,"Las Animas, CO",711460.00
08073,"Lincoln, CO",391910.00
08075,"Logan, CO",1061679.00
08077,"Mesa, CO",6253144.00
08079,"Mineral, CO",77089.00
08081,"Moffat, CO",987890.00
08083,"Montezuma, CO",1799102.00
08085,"Montrose, CO",1413627.00
08087,"Morgan, CO",1592344.00
08089,"Otero, CO",594219.00
08091,"Ouray, CO",200510.00
08093,"Park, CO",400803.00
08095,"Phillips, CO",213315.00
08097,"Pitkin, CO",1900883.00
08099,"Prowers, CO",585362.00
08101,"Pueblo, CO",6084945.00
08103,"Rio Blanco, CO",736488.00
08105,"Rio Grande, CO",435646.00
08107,"Routt, CO",1676236.00
08109,"Saguache, CO",170660.00
08111,"San Juan, CO",44681.00
08113,"San Miguel, CO",630972.00
08115,"Sedgwick, CO",122461.00
08117,"Summit, CO",2144107.00
08119,"Teller, CO",858144.00
08121,"Washington, CO",240624.00
08123,"Weld, CO*",20531235.00
08125,"Yuma, CO",673264.00
09001,"Fairfield, CT",77951236.00
09003,"Hartford, CT",75991079.00
09005,"Litchfield, CT",7688830.00
09007,"Middlesex, CT",8706342.00
09009,"New Haven, CT",48060270.00
09011,"New London, CT",17084801.00
09013,"Tolland, CT",4835245.00
09015,"Windham, CT",4661614.00
10001,"Kent, DE",6700040.00
10003,"New Castle, DE",42517640.00
10005,"Sussex, DE",13568583.00
11001,"District of Columbia, DC",123981627.00
12001,"Alachua, FL",12447381.00
12003,"Baker, FL",595832.00
12005,"Bay, FL",7606775.00
12007,"Bradford, FL",659865.00
12009,"Brevard, FL",23437467.00
12011,"Broward, FL",96874849.00
12013,"Calhoun, FL",250104.00
12015,"Charlotte, FL",4670656.00
12017,"Citrus, FL",3511018.00
12019,"Clay, FL",4508532.00
12021,"Collier, FL",15760299.00
12023,"Columbia, FL",2117963.00
12027,"DeSoto, FL",828489.00
12029,"Dixie, FL",274765.00
12031,"Duval, FL",59046312.00
12033,"Escambia, FL",14133569.00
12035,"Flagler, FL",2159015.00
12037,"Franklin, FL",339243.00
12039,"Gadsden, FL",1210807.00
12041,"Gilchrist, FL",384761.00
12043,"Glades, FL",270066.00
12045,"Gulf, FL",377644.00
12047,"Hamilton, FL",392338.00
12049,"Hardee, FL",1113218.00
12051,"Hendry, FL",1216050.00
12053,"Hernando, FL",3817718.00
12055,"Highlands, FL",2538660.00
12057,"Hillsborough, FL",79951440.00
12059,"Holmes, FL",323671.00
12061,"Indian River, FL",5346831.00
12063,"Jackson, FL",1199023.00
12065,"Jefferson, FL",302750.00
12067,"Lafayette, FL",209052.00
12069,"Lake, FL",8284194.00
12071,"Lee, FL",27046186.00
12073,"Leon, FL",14165147.00
12075,"Levy, FL",1102272.00
12077,"Liberty, FL",182111.00
12079,"Madison, FL",489921.00
12081,"Manatee, FL",12599063.00
12083,"Marion, FL",9237866.00
12085,"Martin, FL",6946903.00
12086,"Miami-Dade, FL",145882828.00
12087,"Monroe, FL",4255911.00
12089,"Nassau, FL",2213296.00
12091,"Okaloosa, FL",10515093.00
12093,"Okeechobee, FL",1151613.00
12095,"Orange, FL",87741273.00
12097,"Osceola, FL",8374889.00
12099,"Palm Beach, FL",72270528.00
12101,"Pasco, FL",11238393.00
12103,"Pinellas, FL",46894199.00
12105,"Polk, FL",22483500.00
12107,"Putnam, FL",2009787.00
12109,"St. Johns, FL",7357931.00
12111,"St. Lucie, FL",8311311.00
12113,"Santa Rosa, FL",3836306.00
12115,"Sarasota, FL",17814560.00
12117,"Seminole, FL",19779928.00
12119,"Sumter, FL",2484841.00
12121,"Suwannee, FL",1090123.00
12123,"Taylor, FL",856461.00
12125,"Union, FL",299208.00
12127,"Volusia, FL",16446375.00
12129,"Wakulla, FL",606163.00
12131,"Walton, FL",2511146.00
12133,"Washington, FL",491690.00
13001,"Appling, GA",1417429.00
13003,"Atkinson, GA",236695.00
13005,"Bacon, GA",357666.00
13007,"Baker, GA",87742.00
13009,"Baldwin, GA",1237235.00
13011,"Banks, GA",432928.00
13013,"Barrow, GA",1884951.00
13015,"Bartow, GA",4495356.00
13017,"Ben Hill, GA",481148.00
13019,"Berrien, GA",354815.00
13021,"Bibb, GA",7980755.00
13023,"Bleckley, GA",232430.00
13025,"Brantley, GA",240294.00
13027,"Brooks, GA",286906.00
13029,"Bryan, GA",807644.00
13031,"Bulloch, GA",2141698.00
13033,"Burke, GA",2489579.00
13035,"Butts, GA",560604.00
13037,"Calhoun, GA",124665.00
13039,"Camden, GA",1865713.00
13043,"Candler, GA",243238.00
13045,"Carroll, GA",3994013.00
13047,"Catoosa, GA",1366360.00
13049,"Charlton, GA",193017.00
13051,"Chatham, GA",16849129.00
13053,"Chattahoochee, GA",1422770.00
13055,"Chattooga, GA",549226.00
13057,"Cherokee, GA",6203380.00
13059,"Clarke, GA",6890589.00
13061,"Clay, GA",79221.00
13063,"Clayton, GA",16751712.00
13065,"Clinch, GA",246674.00
13067,"Cobb, GA",45417267.00
13069,"Coffee, GA",1389874.00
13071,"Colquitt, GA",1302673.00
13073,"Columbia, GA",3294683.00
13075,"Cook, GA",366696.00
13077,"Coweta, GA",3705520.00
13079,"Crawford, GA",165034.00
13081,"Crisp, GA",712897.00
13083,"Dade, GA",376102.00
13085,"Dawson, GA",814582.00
13087,"Decatur, GA",824276.00
13089,"DeKalb, GA",37396329.00
13091,"Dodge, GA",431156.00
13093,"Dooly, GA",312341.00
13095,"Dougherty, GA",4198481.00
13097,"Douglas, GA",3848040.00
13099,"Early, GA",554226.00
13101,"Echols, GA",48865.00
13103,"Effingham, GA",1789623.00
13105,"Elbert, GA",577880.00
13107,"Emanuel, GA",624021.00
13109,"Evans, GA",348274.00
13111,"Fannin, GA",601484.00
13113,"Fayette, GA",4314130.00
13115,"Floyd, GA",3787411.00
13117,"Forsyth, GA",8676090.00
13119,"Franklin, GA",899867.00
13121,"Fulton, GA",152383941.00
13123,"Gilmer, GA",827846.00
13125,"Glascock, GA",44217.00
13127,"Glynn, GA",3524216.00
13129,"Gordon, GA",2159797.00
13131,"Grady, GA",672965.00
13133,"Greene, GA",614673.00
13135,"Gwinnett, GA",44198573.00
13137,"Habersham, GA",1392422.00
13139,"Hall, GA",8764977.00
13141,"Hancock, GA",160890.00
13143,"Haralson, GA",712231.00
13145,"Harris, GA",449959.00
13147,"Hart, GA",880377.00
13149,"Heard, GA",1132700.00
13151,"Henry, GA",5456897.00
13153,"Houston, GA",6039600.00
13155,"Irwin, GA",181549.00
13157,"Jackson, GA",2647300.00
13159,"Jasper, GA",238754.00
13161,"Jeff Davis, GA",397699.00
13163,"Jefferson, GA",514017.00
13165,"Jenkins, GA",135816.00
13167,"Johnson, GA",136228.00
13169,"Jones, GA",388998.00
13171,"Lamar, GA",396516.00
13173,"Lanier, GA",154894.00
13175,"Laurens, GA",1835285.00
13177,"Lee, GA",546644.00
13179,"Liberty, GA",3212350.00
13181,"Lincoln, GA",131430.00
13183,"Long, GA",120961.00
13185,"Lowndes, GA",4563203.00
13187,"Lumpkin, GA",696558.00
13189,"McDuffie, GA",624689.00
13191,"McIntosh, GA",193322.00
13193,"Macon, GA",428881.00
13195,"Madison, GA",482010.00
13197,"Marion, GA",128418.00
13199,"Meriwether, GA",486486.00
13201,"Miller, GA",171059.00
13205,"Mitchell, GA",710687.00
13207,"Monroe, GA",1636124.00
13209,"Montgomery, GA",141780.00
13211,"Morgan, GA",672292.00
13213,"Murray, GA",1250877.00
13215,"Muscogee, GA",9713550.00
13217,"Newton, GA",2415670.00
13219,"Oconee, GA",1254367.00
13221,"Oglethorpe, GA",331793.00
13223,"Paulding, GA",2290287.00
13225,"Peach, GA",938621.00
13227,"Pickens, GA",929381.00
13229,"Pierce, GA",371570.00
13231,"Pike, GA",278801.00
13233,"Polk, GA",1181529.00
13235,"Pulaski, GA",265086.00
13237,"Putnam, GA",445696.00
13239,"Quitman, GA",49138.00
13241,"Rabun, GA",466083.00
13243,"Randolph, GA",362963.00
13245,"Richmond, GA",11603709.00
13247,"Rockdale, GA",3403771.00
13249,"Schley, GA",111573.00
13251,"Screven, GA",330384.00
13253,"Seminole, GA",248233.00
13255,"Spalding, GA",1932018.00
13257,"Stephens, GA",845831.00
13259,"Stewart, GA",131437.00
13261,"Sumter, GA",1012804.00
13263,"Talbot, GA",136557.00
13265,"Taliaferro, GA",40876.00
13267,"Tattnall, GA",598451.00
13269,"Taylor, GA",196727.00
13271,"Telfair, GA",400242.00
13273,"Terrell, GA",243756.00
13275,"Thomas, GA",2050229.00
13277,"Tift, GA",1722446.00
13279,"Toombs, GA",909766.00
13281,"Towns, GA",291115.00
13283,"Treutlen, GA",119360.00
13285,"Troup, GA",3689303.00
13287,"Turner, GA",190629.00
13289,"Twiggs, GA",269210.00
13291,"Union, GA",636700.00
13293,"Upson, GA",634107.00
13295,"Walker, GA",1382991.00
13297,"Walton, GA",2305512.00
13299,"Ware, GA",1253181.00
13301,"Warren, GA",190039.00
13303,"Washington, GA",580610.00
13305,"Wayne, GA",716988.00
13307,"Webster, GA",68097.00
13309,"Wheeler, GA",126380.00
13311,"White, GA",651770.00
13313,"Whitfield, GA",5604981.00
13315,"Wilcox, GA",147790.00
13317,"Wilkes, GA",299631.00
13319,"Wilkinson, GA",469070.00
13321,"Worth, GA",335248.00
15001,"Hawaii, HI",8124355.00
15003,"Honolulu, HI",61095819.00
15007,"Kauai, HI",4083693.00
15901,"Maui + Kalawao, HI*",9345639.00
16001,"Ada, ID",24825864.00
16003,"Adams, ID",128547.00
16005,"Bannock, ID",2745368.00
16007,"Bear Lake, ID",171856.00
16009,"Benewah, ID",297905.00
16011,"Bingham, ID",1335050.00
16013,"Blaine, ID",1400281.00
16015,"Boise, ID",221901.00
16017,"Bonner, ID",1339019.00
16019,"Bonneville, ID",4905301.00
16021,"Boundary, ID",336364.00
16023,"Butte, ID",959859.00
16025,"Camas, ID",54147.00
16027,"Canyon, ID",5367721.00
16029,"Caribou, ID",427875.00
16031,"Cassia, ID",1648535.00
16033,"Clark, ID",41594.00
16035,"Clearwater, ID",324971.00
16037,"Custer, ID",177291.00
16039,"Elmore, ID",1163797.00
16041,"Franklin, ID",333650.00
16043,"Fremont (includes Yellowstone Park), ID",402818.00
16045,"Gem, ID",319609.00
16047,"Gooding, ID",1272187.00
16049,"Idaho, ID",486206.00
16051,"Jefferson, ID",563537.00
16053,"Jerome, ID",1359384.00
16055,"Kootenai, ID",5529281.00
16057,"Latah, ID",1242423.00
16059,"Lemhi, ID",231853.00
16061,"Lewis, ID",156358.00
16063,"Lincoln, ID",286254.00
16065,"Madison, ID",1115604.00
16067,"Minidoka, ID",736107.00
16069,"Nez Perce, ID",1889423.00
16071,"Oneida, ID",110667.00
16073,"Owyhee, ID",383126.00
16075,"Payette, ID",780280.00
16077,"Power, ID",419021.00
16079,"Shoshone, ID",466589.00
16081,"Teton, ID",309013.00
16083,"Twin Falls, ID",3323275.00
16085,"Valley, ID",455186.00
16087,"Washington, ID",404915.00
17001,"Adams, IL",3284870.00
17003,"Alexander, IL",180487.00
17005,"Bond, IL",556141.00
17007,"Boone, IL",1706969.00
17009,"Brown, IL",403332.00
17011,"Bureau, IL",1200477.00
17013,"Calhoun, IL",109270.00
17015,"Carroll, IL",463346.00
17017,"Cass, IL",638399.00
17019,"Champaign, IL",10356705.00
17021,"Christian, IL",1346262.00
17023,"Clark, IL",608104.00
17025,"Clay, IL",588562.00
17027,"Clinton, IL",1210870.00
17029,"Coles, IL",2305836.00
17031,"Cook, IL",362063569.00
